time, Quad.Est.E.Pos, Quad.Est.S.Z
1.059994,0.127825,0.232448
1.064994,0.128397,0.232653
1.069994,0.128714,0.232791
1.074994,0.129252,0.233000
1.079994,0.129636,0.233139
1.084995,0.130159,0.233350
1.089995,0.130459,0.233492
1.094995,0.130931,0.233705
1.099995,0.131201,0.233849
1.104996,0.215165,0.226901
1.109996,0.215376,0.227030
1.114996,0.215822,0.227225
1.119996,0.216140,0.227356
1.124997,0.216650,0.227553
1.129997,0.217021,0.227685
1.134997,0.217615,0.227885
1.139997,0.218020,0.228019
1.144997,0.218601,0.228222
1.149998,0.218974,0.228358
1.154998,0.219531,0.228563
1.159998,0.219885,0.228700
1.164998,0.220472,0.228908
1.169999,0.220864,0.229047
1.174999,0.221474,0.229258
1.179999,0.221850,0.229399
1.184999,0.222426,0.229611
1.190000,0.222676,0.229754
1.195000,0.223190,0.229970
1.200000,0.223538,0.230114
1.205000,0.200730,0.223447
1.210001,0.201121,0.223578
1.215001,0.201473,0.223775
1.220001,0.201698,0.223907
1.225001,0.202016,0.224107
1.230001,0.202238,0.224241
1.235002,0.202499,0.224443
1.240002,0.202643,0.224578
1.245002,0.202950,0.224783
1.250002,0.203166,0.224920
1.255003,0.203500,0.225127
1.260003,0.203755,0.225266
1.265003,0.204098,0.225476
1.270003,0.204225,0.225617
1.275004,0.204582,0.225829
1.280004,0.204775,0.225971
1.285004,0.205161,0.226186
1.290004,0.205370,0.226330
1.295004,0.205715,0.226548
1.300005,0.205891,0.226693
1.305005,0.244722,0.220274
1.310005,0.244684,0.220407
1.315005,0.244771,0.220606
1.320006,0.244855,0.220740
1.325006,0.244910,0.220942
1.330006,0.244954,0.221077
1.335006,0.244985,0.221282
1.340007,0.245001,0.221419
1.345007,0.244983,0.221625
1.350007,0.244962,0.221764
1.355007,0.244959,0.221973
1.360008,0.244956,0.222114
1.365008,0.244911,0.222326
1.370008,0.244916,0.222468
1.375008,0.244887,0.222682
1.380008,0.244893,0.222825
1.385009,0.244863,0.223042
1.390009,0.245003,0.223188
1.395009,0.245062,0.223407
1.400009,0.245132,0.223554
1.405010,0.164756,0.217355
1.410010,0.164678,0.217489
1.415010,0.164665,0.217691
1.420010,0.164720,0.217826
1.425011,0.164679,0.218030
1.430011,0.164594,0.218167
1.435011,0.164579,0.218374
1.440011,0.164556,0.218512
1.445011,0.164514,0.218721
1.450012,0.164469,0.218861
1.455012,0.164419,0.219073
1.460012,0.164374,0.219214
1.465012,0.164297,0.219428
1.470013,0.164147,0.219572
1.475013,0.164042,0.219788
1.480013,0.163933,0.219933
1.485013,0.163859,0.220152
1.490014,0.163857,0.220298
1.495014,0.163783,0.220520
1.500014,0.163776,0.220668
1.505014,0.200549,0.214666
1.510015,0.200752,0.214801
1.515015,0.201037,0.215005
1.520015,0.201270,0.215141
1.525015,0.201477,0.215348
1.530015,0.201572,0.215486
1.535016,0.201787,0.215695
1.540016,0.201923,0.215835
1.545016,0.202158,0.216046
1.550016,0.202314,0.216187
1.555017,0.202534,0.216401
1.560017,0.202602,0.216544
1.565017,0.202775,0.216760
1.570017,0.202969,0.216904
1.575018,0.203137,0.217123
1.580018,0.203170,0.217269
1.585018,0.203274,0.217490
1.590018,0.203307,0.217638
1.595019,0.203392,0.217861
1.600019,0.203548,0.218011
1.605019,0.224734,0.212184
1.610019,0.225069,0.212320
1.615019,0.225597,0.212526
1.620020,0.225946,0.212665
1.625020,0.226444,0.212873
1.630020,0.226783,0.213013
1.635020,0.227290,0.213224
1.640021,0.227640,0.213365
1.645021,0.228136,0.213578
1.650021,0.228448,0.213721
1.655021,0.228873,0.213936
1.660022,0.229068,0.214081
1.665022,0.229377,0.214299
1.670022,0.229587,0.214445
1.675022,0.229903,0.214665
1.680022,0.230187,0.214813
1.685023,0.230563,0.215036
1.690023,0.230783,0.215185
1.695023,0.231170,0.215411
